iou,dice,sensitivity,specificity,tp,fp,fn,tn,gt_pixels,pred_pixels,epoch,split,case_id,class,body_thr,cold_thr,min_cold_cc,loss,val_best_cold_iou_after_sweep,val_best_cold_sens_after_sweep,val_best_cold_spec_after_sweep,val_body_iou_at_selected_thr,val_pred_gt_ratio_at_selected_thr,val_selection_score,fold_id,test_subject,val_subject,pred_gt_ratio
0.0,0.0,0.0,0.9788690221574644,0,1729,97,80094,97,1729,21,test,S07-D-3,cold,0.35,0.4,50,1.3598673343658447,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,17.824742266203636
0.0,0.0,0.0,0.9755358063485412,0,1993,454,79473,454,1993,21,test,S07-B-1,cold,0.35,0.4,50,1.3511368036270142,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,4.389867841312999
0.0,0.0,0.0,0.9891819543700744,0,881,482,80557,482,881,39,test,S06-D-3,cold,0.35,0.8,0,1.3711572885513306,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.8278008298375974
0.0,0.0,0.0,0.9770620888659456,0,1876,134,79910,134,1876,21,test,S07-D-2,cold,0.35,0.4,50,1.3861945867538452,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,13.999999998955223
0.0,0.0,0.0,0.9924229399483,0,617,490,80813,490,617,39,test,S06-D-1,cold,0.35,0.8,0,1.3619569540023804,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.25918367344369
0.0,0.0,0.0,0.999999999999877,0,0,668,81252,668,0,64,test,S09-D-3,cold,0.75,0.55,50,1.336385726928711,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9916584227944903,0,683,41,81196,41,683,19,test,S10-A-1,cold,0.75,0.5,0,1.5274391174316406,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,16.658536581302794
0.0,0.0,0.0,0.9999999999998778,0,0,132,81788,132,0,19,test,S10-B-1,cold,0.75,0.5,0,1.7807087898254397,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,0.0
0.0,0.0,0.0,0.9999999999998768,0,0,723,81197,723,0,19,test,S10-B-3,cold,0.75,0.5,0,1.884003639221192,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,500,81420,500,0,19,test,S10-B-2,cold,0.75,0.5,0,1.7676602602005005,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,0.0
0.0,0.0,0.0,0.999999999999878,0,0,54,81866,54,0,64,test,S09-A-2,cold,0.75,0.55,50,1.2847379446029663,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998778,0,0,141,81779,141,0,64,test,S09-A-1,cold,0.75,0.55,50,1.2876673936843872,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9980419511955114,0,160,206,81554,206,160,64,test,S09-B-2,cold,0.75,0.55,50,1.2749767303466797,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.7766990290885097
0.0,0.0,0.0,0.9999999999998777,0,0,227,81693,227,0,64,test,S09-B-3,cold,0.75,0.55,50,1.2624623775482178,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998777,0,0,180,81740,180,0,64,test,S09-B-1,cold,0.75,0.55,50,1.2601386308670044,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.992197245798866,0,638,154,81128,154,638,19,test,S10-D-1,cold,0.75,0.5,0,1.597381830215454,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,4.1428571425881255
0.0,0.0,0.0,0.9991648243673544,0,68,500,81352,500,68,64,test,S09-C-1,cold,0.75,0.55,50,1.2859055995941162,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.13599999999728
0.0,0.0,0.0,0.9999999999998772,0,0,415,81505,415,0,64,test,S09-C-2,cold,0.75,0.55,50,1.303070068359375,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998768,0,0,691,81229,691,0,64,test,S09-C-3,cold,0.75,0.55,50,1.2585514783859253,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998777,0,0,269,81651,269,0,64,test,S09-D-1,cold,0.75,0.55,50,1.262556552886963,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,426,81494,426,0,64,test,S09-D-2,cold,0.75,0.55,50,1.3237648010253906,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998778,0,0,165,81755,165,0,64,test,S09-A-3,cold,0.75,0.55,50,1.2761141061782837,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.999999999999876,0,0,1309,80611,1309,0,49,test,S11-D-2,cold,0.5,0.8,0,1.5371575355529783,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.999999999999876,0,0,1369,80551,1369,0,49,test,S11-D-3,cold,0.5,0.8,0,1.8125077486038208,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.999999999999876,0,0,1311,80609,1311,0,49,test,S11-C-2,cold,0.5,0.8,0,1.505947470664978,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998762,0,0,1144,80776,1144,0,49,test,S11-C-3,cold,0.5,0.8,0,1.4870080947875977,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,527,81393,527,0,49,test,S11-D-1,cold,0.5,0.8,0,1.3950145244598389,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,545,81375,545,0,49,test,S11-B-3,cold,0.5,0.8,0,1.911494731903076,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998724,0,0,3542,78378,3542,0,49,test,S11-B-1,cold,0.5,0.8,0,2.599756956100464,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,501,81419,501,0,49,test,S11-B-2,cold,0.5,0.8,0,1.8638420104980469,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998708,0,0,4483,77437,4483,0,49,test,S11-A-1,cold,0.5,0.8,0,2.8679702281951904,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9985840753117587,0,111,3526,78283,3526,111,49,test,S11-A-2,cold,0.5,0.8,0,2.6510214805603027,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.03148043108329132
0.0151707545278251,0.0298880842659447,0.1774824081299649,0.8303096439775263,227,13684,1052,66957,1279,13911,24,test,S05-D-3,cold,0.5,0.8,20,3.147451639175415,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,10.87646598896891
0.0175269930483526,0.0344501780652413,0.4172535211194145,0.8407660536924918,237,12954,331,68398,568,13191,24,test,S05-D-2,cold,0.5,0.8,20,3.009496688842773,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,23.22359154888691
0.0214810627472996,0.0420586607636676,0.9999999999671052,0.8303273867868028,304,13848,0,67768,304,14152,24,test,S05-D-1,cold,0.5,0.8,20,3.2498857975006104,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,46.55263157741603
0.0224983755685327,0.044006672491823,0.4999999999909747,0.8554924661405433,277,11758,277,69608,554,12035,24,test,S05-C-2,cold,0.5,0.8,20,2.830283164978028,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,21.723826714409316
0.0227483751159575,0.044484793463257,0.8596491226562019,0.9743840318579854,49,2097,8,79766,57,2146,25,test,S08-D-1,cold,0.4,0.75,20,1.4341387748718262,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,37.649122800412435
0.0255124612888766,0.0497555363819026,0.5690789473590612,0.8406877213694361,346,12954,262,68358,608,13300,24,test,S05-C-3,cold,0.5,0.8,20,3.042563438415528,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,21.874999999640213
0.0268210050817989,0.0522408578497326,0.1507936507912572,0.9641776356254196,95,2912,535,78378,630,3007,21,test,S07-B-2,cold,0.35,0.4,50,1.3967843055725098,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,4.77301587294011
0.028146230993115,0.0547514159847238,0.9999999998850576,0.963291092835291,87,3004,0,78829,87,3091,25,test,S08-A-1,cold,0.4,0.75,20,1.394312858581543,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,35.52873562810015
0.0285714285713197,0.0555555555553497,0.9999999998666668,0.9688435457265602,75,2550,0,79295,75,2625,25,test,S08-A-2,cold,0.4,0.75,20,1.3897496461868286,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,34.99999999533333
0.0287026406427743,0.05580357142826,0.1497005987979131,0.98274213713125,50,1408,284,80178,334,1458,19,test,S10-C-2,cold,0.75,0.5,0,1.3759832382202148,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,4.365269460947148
0.029181494661714,0.0567081604422081,0.9999999997560975,0.9833412718766738,41,1364,0,80515,41,1405,19,test,S10-A-2,cold,0.75,0.5,0,1.445918321609497,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,34.268292674568706
0.0327832292595165,0.0634852083781829,0.0338631651692378,0.9981567176683126,147,143,4194,77436,4341,290,49,test,S11-A-3,cold,0.5,0.8,0,2.510603666305542,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.06680488366720386
0.0392609699766786,0.0755555555551358,0.14623655913664,0.9844453993001064,68,1267,397,80188,465,1335,19,test,S10-C-1,cold,0.75,0.5,0,1.365119457244873,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,2.8709677418737427
0.044257862530209,0.0847642409375274,0.7141216991881272,0.837345309627406,622,13183,249,67866,871,13805,24,test,S05-C-1,cold,0.5,0.8,20,3.0117344856262207,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,15.849598162849029
0.0575539568338422,0.1088435374137319,0.4848484847995102,0.9910169760818138,48,735,51,81086,99,783,19,test,S10-D-2,cold,0.75,0.5,0,1.5407336950302124,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,7.909090908292011
0.0597579425108944,0.1127765881505155,0.9999999998734178,0.984812013538326,79,1243,0,80598,79,1322,19,test,S10-A-3,cold,0.75,0.5,0,1.9616405963897705,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,16.734177213071625
0.0644444444440864,0.1210855949889296,0.330484330474915,0.9822358984416896,116,1449,235,80120,351,1565,19,test,S10-C-3,cold,0.75,0.5,0,1.3307249546051023,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,4.45868945856243
0.0935093509345791,0.1710261569407896,0.9883720929657924,0.9798649508243652,170,1646,2,80102,172,1816,21,test,S07-D-1,cold,0.35,0.4,50,1.258135199546814,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,10.558139534269875
0.0938566552895685,0.1716068642736786,0.5729166666467738,0.9819923559387272,165,1470,123,80162,288,1635,25,test,S08-C-1,cold,0.4,0.75,20,1.2926162481307983,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,5.6770833331362125
0.1045694200346899,0.1893396976921665,0.7507886435094389,0.9759935296495256,238,1959,79,79644,317,2197,25,test,S08-D-3,cold,0.4,0.75,20,1.3625138998031616,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,6.930599368866543
0.1059322033891892,0.1915708812250051,0.9358288769553031,0.9820757833432052,175,1465,12,80268,187,1640,19,test,S10-D-3,cold,0.75,0.5,0,1.317462682723999,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,8.770053475466842
0.1180277349765238,0.211135611906805,0.4705159705101902,0.970026878405917,383,2431,431,78675,814,2814,21,test,S07-B-3,cold,0.35,0.4,50,1.1740351915359497,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,3.4570024569599878
0.1235132662395816,0.2198697068401919,0.1235132662395816,0.9999999999998612,1215,0,8622,72083,9837,1215,39,test,S06-A-1,cold,0.35,0.8,0,2.398613929748535,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,0.12351326623958166
0.1500293599525836,0.2609139647682897,0.9999999999804304,0.96443882126043,511,2895,0,78514,511,3406,25,test,S08-C-3,cold,0.4,0.75,20,1.305670976638794,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,6.665362035094611
0.1516905484575762,0.2634224074526456,0.924698795176744,0.8512111161363823,2149,11843,175,67753,2324,13992,24,test,S05-B-3,cold,0.5,0.8,20,2.783086061477661,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,6.020654044724524
0.1588855421674782,0.2742040285882118,0.1707119741086512,0.998859749144688,211,92,1025,80592,1236,303,49,test,S11-C-1,cold,0.5,0.8,0,0.9882189035415648,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.2451456310659778
0.1623158438868898,0.2792973093167016,0.3780854906659959,0.97248906664661,628,2208,1033,78051,1661,2836,21,test,S07-C-2,cold,0.35,0.4,50,1.1714487075805664,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,1.707405177593574
0.1723484848473968,0.2940226171228108,0.3855932203335368,0.9892134167363212,273,876,435,80336,708,1149,39,test,S06-A-2,cold,0.35,0.8,0,1.0664790868759155,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.6228813559092814
0.1970992934168944,0.3292948120524098,0.9925093632772938,0.973521244439956,530,2155,4,79231,534,2685,25,test,S08-C-2,cold,0.4,0.75,20,1.2683504819869995,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,5.02808988754629
0.206381534283074,0.3421496904886265,0.5624421831585343,0.9769294523681668,608,1865,473,78974,1081,2473,21,test,S07-C-1,cold,0.35,0.4,50,1.0696890354156494,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,2.2876965772221305
0.2101551480944277,0.3473193473173233,0.7525252525062494,0.9874638143367612,298,1022,98,80502,396,1320,39,test,S06-B-1,cold,0.35,0.8,0,0.9502558708190918,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,3.333333333249158
0.213560885607871,0.3519574306334019,0.9999999999784016,0.9790687110989872,463,1705,0,79752,463,2168,25,test,S08-D-2,cold,0.4,0.75,20,1.2263399362564087,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,4.6825053994669
0.2228731012872264,0.3645073246809087,0.8021573915155623,0.8637992831540109,3272,10602,807,67239,4079,13874,24,test,S05-B-2,cold,0.5,0.8,20,2.3630383014678955,0.3048066632311186,0.6157657943318363,0.9723376573257886,0.9008792489803196,1.8218511370219592,0.5110478753065747,0,S05,S11,3.4013238538774178
0.2339108910862139,0.3791374122329073,0.979274611348224,0.992474947079791,189,615,4,81112,193,804,39,test,S06-C-1,cold,0.35,0.8,0,0.9595640301704408,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,4.165803108592446
0.271351351350618,0.4268707482984122,0.5380493033197318,0.9770904639367206,1004,1834,862,78220,1866,2838,21,test,S07-C-3,cold,0.35,0.4,50,0.9939947724342346,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,1.520900321535258
0.2830712303409664,0.4412400865160734,0.8882438316271662,0.9818665287881496,612,1473,77,79758,689,2085,25,test,S08-B-2,cold,0.4,0.75,20,1.0437418222427368,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,3.026124818533728
0.2879818594087983,0.4471830985895811,0.5173116089560356,0.9903382836243804,508,782,474,80156,982,1290,39,test,S06-A-3,cold,0.35,0.8,0,0.8671242594718933,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.3136456211678855
0.3394495412805109,0.5068493150641538,0.8835820895258631,0.9934179077035002,296,537,39,81048,335,833,39,test,S06-C-3,cold,0.35,0.8,0,0.7643541693687439,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,2.4865671641048785
0.3423423423397722,0.510067114091107,0.5211428571369012,0.9943611573815788,456,457,419,80588,875,913,39,test,S06-B-3,cold,0.35,0.8,0,0.7653136849403381,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.0434285714166465
0.3477690288698697,0.516066212267069,0.9023836549273282,0.9826626685915444,795,1405,86,79634,881,2200,25,test,S08-B-1,cold,0.4,0.75,20,1.0090276002883911,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,2.497162315522166
0.3501628664438084,0.5186972255667226,0.6825396825180146,0.9963360088228668,215,299,100,81306,315,514,39,test,S06-C-2,cold,0.35,0.8,0,0.7830601334571838,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.6317460316942303
0.3541001064958012,0.5230043255991712,0.3932002956387388,0.9900605415473368,2660,747,4105,74408,6765,3407,21,test,S07-A-3,cold,0.35,0.4,50,1.434178352355957,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,0.5036215816696177
0.3723404255288679,0.542635658911493,0.5596555965490817,0.9949572786564668,455,409,358,80698,813,864,39,test,S06-B-2,cold,0.35,0.8,0,0.7103052735328674,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.0627306272932013
0.3780971258653216,0.5487234807603426,0.8375411635473377,0.9863348516830246,763,1107,148,79902,911,1870,25,test,S08-B-3,cold,0.4,0.75,20,0.9792515635490416,0.1658560787893443,0.3442550575497651,0.9836247787155026,0.963181320244928,1.23790582669595,0.3664282204792145,3,S08,S07,2.0526893523375116
0.5523091423168323,0.7115968427429435,0.9281942977775705,0.9838927348610472,1758,1289,136,78737,1894,3047,21,test,S07-A-1,cold,0.35,0.4,50,0.7801516056060791,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,1.608764519526881
0.5710790975793121,0.7269896193759049,0.6920289855049669,0.9918487906291528,2101,643,935,78241,3036,2744,21,test,S07-A-2,cold,0.35,0.4,50,0.9978156089782716,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,0.9038208168613181
